winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2015,4.7,82.0,Espana,Priorato,1252.35,Priorat Red,4.0,3.0
Bodegas El Nido,El Nido,2019,4.7,80.0,Espana,Jumilla,145.9,Red,4.0,3.0
Mas Doix,1902 Centenary Carignan Priorat,2013,4.7,74.0,Espana,Priorato,447.95,Priorat Red,4.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,2006,4.7,72.0,Espana,Ribera del Duero,813.96,Ribera Del Duero Red,5.0,3.0
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2005,4.7,67.0,Espana,Priorato,1410.26,Priorat Red,4.0,3.0
Martinet,Cami Pesseroles,2006,4.7,65.0,Espana,Priorato,182.9,Priorat Red,4.0,3.0
Recaredo,Turo d'en Mota,2007,4.7,64.0,Espana,Cava,99.0,Cava,2.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,1986,4.7,63.0,Espana,Ribera del Duero,1113.2,Ribera Del Duero Red,5.0,3.0
Clos Erasmus,Priorat,2007,4.7,60.0,Espana,Priorato,654.31,Priorat Red,4.0,3.0
Pago de Los Capellanes,Parcela El Picon Tinto,2016,4.7,59.0,Espana,Ribera del Duero,134.26,Ribera Del Duero Red,5.0,3.0
Barbadillo,Reliquia Palo Cortado Sherry,N.V.,4.7,58.0,Espana,Jerez Palo Cortado,380.0,Sherry,4.0,3.0
La Rioja Alta,Gran Reserva 890,1982,4.7,57.0,Espana,Rioja,292.09,Rioja Red,4.0,3.0
Gonzalez-Byass,Anada Palo Cortado 1987,1987,4.7,53.0,Espana,Jerez Palo Cortado,400.85,Sherry,4.0,3.0
Clos Erasmus,Daphne Glorian Red,2007,4.7,51.0,Espana,Priorato,202.01,Red,4.0,3.0
Toro Albala,Don PX Pedro Ximenez,1955,4.7,50.0,Espana,Montilla-Moriles,250.0,Pedro Ximenez,5.0,1.0
Vinedos de Paganos,La Nieta,2019,4.7,49.0,Espana,Rioja,88.9,Rioja Red,4.0,3.0
Bodegas Amaren,El Regollar,2016,4.7,49.0,Espana,Rioja,77.9,Rioja Red,4.0,3.0
Toro Albala,Don PX Convento Seleccion,1958,4.7,47.0,Espana,Montilla-Moriles,191.61,Pedro Ximenez,5.0,1.0
Teso La Monja,Alabaster,2018,4.7,45.0,Espana,Toro,123.89,Toro Red,5.0,3.0
Alvear,Abuelo Diego Palo Cortado,N.V.,4.7,42.0,Espana,Montilla-Moriles,114.28,Pedro Ximenez,5.0,1.0
Equipo Navazos,La Bota 78 de Oloroso,N.V.,4.7,41.0,Espana,Manzanilla,95.57,Sherry,4.0,3.0
Morca,Touran,2018,4.7,41.0,Espana,Campo de Borja,93.95,Grenache,5.0,3.0
Territorio Luthier,Luthier Gran Reserva,2012,4.7,40.0,Espana,Ribera del Duero,248.0,Ribera Del Duero Red,5.0,3.0
Artadi,Vina El Pison,1995,4.7,39.0,Espana,Vino de Espana,397.0,Tempranillo,4.0,2.0
Rafael Palacios,Sorte O Soro Val do Bibei,2019,4.7,37.0,Espana,Valdeorras,194.86,Rioja Red,4.158426788816932,3.0
Recaredo,Reserva Particular de Recaredo Brut Nature,2011,4.7,35.0,Espana,Cava,65.05,Cava,2.0,3.0
Bodegas Mauro,Terreus Paraje de Cueva Baja,2019,4.7,33.0,Espana,Castilla y Leon,86.9,Tempranillo,4.0,2.0
Vina Sastre,Pesus Ribera del Duero,2004,4.7,32.0,Espana,Ribera del Duero,472.5,Ribera Del Duero Red,5.0,3.0
Terra Remota,Usted,2010,4.7,31.0,Espana,Emporda,379.0,Red,4.0,3.0
Dehesa de Los Canonigos,Gran Reserva,2001,4.7,31.0,Espana,Ribera del Duero,185.15,Ribera Del Duero Red,5.0,3.0
Vina Sastre,Regina Vides Ribera del Duero,1998,4.7,30.0,Espana,Ribera del Duero,94.2,Ribera Del Duero Red,5.0,3.0
Miguel Merino,La Loma,2018,4.7,29.0,Espana,Rioja Alta,46.0,Rioja Red,4.0,3.0
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2016,4.7,28.0,Espana,Priorato,919.6,Priorat Red,4.0,3.0
Gutierrez de la Vega,Recondita Armonia Monastrell Dulce,1987,4.7,27.0,Espana,Alicante,81.9,Rioja Red,4.158426788816932,3.0
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,1942,4.7,27.0,Espana,Rioja,680.0,Rioja Red,4.0,3.0
Vega Sicilia,Valbuena 5o,2011,4.6,6803.0,Espana,Ribera del Duero,218.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Valbuena 5o,2012,4.6,5938.0,Espana,Rioja,177.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Valbuena 5o,2008,4.6,5545.0,Espana,Ribera del Duero,187.3,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Valbuena 5o,2007,4.6,5116.0,Espana,Ribera del Duero,195.59,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Valbuena 5o,2013,4.6,4747.0,Espana,Ribera del Duero,135.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Valbuena 5o,2009,4.6,4685.0,Espana,Ribera del Duero,225.2,Ribera Del Duero Red,5.0,3.0
Alion,Ribera del Duero,2016,4.6,4516.0,Espana,Ribera del Duero,79.8,Ribera Del Duero Red,5.0,3.0
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2017,4.6,3383.0,Espana,Ribera del Duero,116.1879436,Ribera Del Duero Red,5.0,3.0
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2018,4.6,3239.0,Espana,Ribera del Duero,89.3,Ribera Del Duero Red,5.0,3.0
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2010,4.6,2416.0,Espana,Rioja,438.9,Rioja Red,4.0,3.0
Alion,Ribera del Duero,2017,4.6,2208.0,Espana,Ribera del Duero,79.9,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Valbuena 5o,2004,4.6,1608.0,Espana,Ribera del Duero,249.0,Ribera Del Duero Red,5.0,3.0
Dominio de Pingus,Flor de Pingus,2018,4.6,1363.0,Espana,Ribera del Duero,129.95,Ribera Del Duero Red,5.0,3.0
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2019,4.6,1108.0,Espana,Ribera del Duero,76.95,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Valbuena 5o,2000,4.6,1015.0,Espana,Ribera del Duero,252.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Valbuena 5o,2002,4.6,936.0,Espana,Ribera del Duero,232.0,Ribera Del Duero Red,5.0,3.0
Bodega Numanthia,Termanthia,2012,4.6,840.0,Espana,Toro,214.0,Toro Red,5.0,3.0
Bodega Numanthia,Termanthia,2011,4.6,790.0,Espana,Toro,205.0,Rioja Red,5.0,3.0
Carmelo Rodero,Pago De Valtarrena,2015,4.6,700.0,Espana,Ribera del Duero,49.95,Ribera Del Duero Red,5.0,3.0
Emilio Moro,Malleolus de Sanchomartin,2011,4.6,693.0,Espana,Ribera del Duero,125.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Valbuena 5o,1999,4.6,595.0,Espana,Ribera del Duero,276.8,Ribera Del Duero Red,5.0,3.0
Emilio Moro,Malleolus de Valderramiro,2015,4.6,516.0,Espana,Ribera del Duero,75.0,Ribera Del Duero Red,5.0,3.0
Dominio de Pingus,Pingus,2010,4.6,410.0,Espana,Ribera del Duero,1359.75,Ribera Del Duero Red,5.0,3.0
Pago de Carraovejas,Cuesta de Las Liebres,2010,4.6,405.0,Espana,Ribera del Duero,81.5,Ribera Del Duero Red,5.0,3.0
Dominio de Pingus,Pingus,2012,4.6,400.0,Espana,Ribera del Duero,890.0,Ribera Del Duero Red,5.0,3.0
Dominio del Bendito,El Titan del Bendito,2015,4.6,388.0,Espana,Toro,43.5,Toro Red,5.0,3.0
Emilio Moro,Malleolus de Sanchomartin,2015,4.6,369.0,Espana,Ribera del Duero,99.0,Ribera Del Duero Red,5.0,3.0
Dominio de Pingus,Pingus,2013,4.6,404.0,Espana,Ribera del Duero,1198.72,Ribera Del Duero Red,5.0,3.0
Bodegas Mauro,Terreus Paraje de Cueva Baja,2015,4.6,313.0,Espana,Castilla y Leon,94.95,Tempranillo,4.0,2.0
Bodegas Mauro,Terreus Paraje de Cueva Baja,2016,4.6,304.0,Espana,Castilla y Leon,89.0,Tempranillo,4.0,2.0
Dominio de Pingus,Pingus,2005,4.6,293.0,Espana,Ribera del Duero,1785.96,Ribera Del Duero Red,5.0,3.0
Vinedos de Paganos,La Nieta,2017,4.6,286.0,Espana,Rioja,108.21,Rioja Red,4.0,3.0
Artadi,Vina El Pison,2006,4.6,274.0,Espana,Vino de Espana,391.5,Tempranillo,4.0,2.0
Dominio de Pingus,Pingus,1998,4.6,244.0,Espana,Ribera del Duero,1350.0,Ribera Del Duero Red,5.0,3.0
Bodegas Roda,Cirsion Rioja,2007,4.6,242.0,Espana,Rioja,145.0,Rioja Red,4.0,3.0
Bodegas Roda,Cirsion Rioja,2012,4.6,231.0,Espana,Rioja,173.38,Rioja Red,4.0,3.0
Bodega Contador (Benjamin Romeo),Contador Rioja,2011,4.6,225.0,Espana,Rioja,220.0,Rioja Red,4.0,3.0
Marques de Murrieta,Dalmau Rioja,2017,4.6,222.0,Espana,Rioja,85.7,Rioja Red,4.0,3.0
Vega Sicilia,Unico,1965,4.6,218.0,Espana,Ribera del Duero,2884.04,Ribera Del Duero Red,5.0,3.0
Sierra Cantabria,Finca el Bosque,2015,4.6,214.0,Espana,Rioja,79.9,Rioja Red,4.0,3.0
Vina Sastre,Pago de Santa Cruz,2018,4.6,211.0,Espana,Ribera del Duero,68.7,Ribera Del Duero Red,5.0,3.0
Dominio de Pingus,Pingus,2003,4.6,205.0,Espana,Ribera del Duero,1638.95,Ribera Del Duero Red,5.0,3.0
Mas d'en Gil,Clos Fonta Priorat,2004,4.6,202.0,Espana,Priorato,150.0,Priorat Red,4.0,3.0
Carmelo Rodero,Pago De Valtarrena,2016,4.6,200.0,Espana,Ribera del Duero,48.95,Ribera Del Duero Red,5.0,3.0
Pago de Los Capellanes,Parcela El Picon Tinto,2014,4.6,197.0,Espana,Ribera del Duero,109.41,Ribera Del Duero Red,5.0,3.0
Emilio Moro,Malleolus de Sanchomartin,2014,4.6,186.0,Espana,Ribera del Duero,119.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Valbuena 5o,1992,4.6,176.0,Espana,Ribera del Duero,195.0,Ribera Del Duero Red,5.0,3.0
Dominio de Pingus,Pingus,2014,4.6,172.0,Espana,Ribera del Duero,1595.0,Ribera Del Duero Red,5.0,3.0
Artadi,Vina El Pison,2010,4.6,169.0,Espana,Vino de Espana,519.55,Tempranillo,4.0,2.0
Pago de Los Capellanes,Parcela El Picon Tinto,2012,4.6,165.0,Espana,Ribera del Duero,89.0,Ribera Del Duero Red,5.0,3.0
Artadi,Vina El Pison,2011,4.6,165.0,Espana,Vino de Espana,511.9,Tempranillo,4.0,2.0
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1999,4.6,164.0,Espana,Priorato,980.0,Priorat Red,4.0,3.0
Casa Castillo,Cuvee N Vinas Viejas,2015,4.6,160.0,Espana,Jumilla,73.0,Red,4.0,3.0
Artadi,Vina El Pison,2012,4.6,159.0,Espana,Vino de Espana,280.0,Tempranillo,4.0,2.0
Vega Sicilia,Unico,1973,4.6,157.0,Espana,Ribera del Duero,932.3,Ribera Del Duero Red,5.0,3.0
Bodega Contador (Benjamin Romeo),Contador Rioja,2014,4.6,157.0,Espana,Rioja,251.99,Rioja Red,4.0,3.0
Bodegas San Roman,Cartago Paraje de Pozo,2014,4.6,153.0,Espana,Toro,61.69,Toro Red,5.0,3.0
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1996,4.6,150.0,Espana,Priorato,1372.14,Priorat Red,4.0,3.0
Bodega Numanthia,Termanthia,2014,4.6,147.0,Espana,Toro,210.5,Toro Red,5.0,3.0
Vega Sicilia,Valbuena 5o,1985,4.6,146.0,Espana,Ribera del Duero,285.0,Ribera Del Duero Red,5.0,3.0
